TS;com.samsung.health.heart_rate.heart_rate
2020-04-07 19:20:29.272;82.0
2020-04-08 01:50:29.282;66.0
2020-04-08 07:50:29.309;63.0
2020-04-08 14:10:29.280;81.0
2020-04-08 20:30:29.293;74.0
2020-04-09 01:20:29.256;67.0
2020-04-09 07:30:29.335;80.0
2020-04-09 13:10:29.306;85.0
2020-04-09 21:50:29.271;80.0
2020-04-10 03:50:29.282;67.0
2020-04-10 10:50:29.279;79.0
2020-04-10 18:00:29.247;76.0
2020-04-11 11:50:29.280;74.0
2020-04-11 17:50:29.306;102.0
2020-04-11 23:50:29.398;67.0
2020-04-12 05:20:29.254;69.0
2020-04-12 11:50:29.339;80.0
2020-04-12 19:40:29.342;84.0
2020-04-13 01:50:33.923;68.0
2020-04-13 07:41:21.635;77.0
2020-04-13 14:20:29.250;87.0
2020-04-13 20:30:29.297;83.0
2020-04-14 02:40:29.332;73.0
2020-04-14 08:50:29.265;83.0
2020-04-14 18:50:29.302;91.0
2020-04-15 00:50:29.296;74.0
2020-04-15 05:50:50.539;69.0
2020-04-02 01:40:29.316;62.0
2020-04-02 07:30:29.217;66.0
2020-04-02 16:30:29.254;84.0
2020-04-02 22:50:29.324;72.0
2020-04-03 04:00:29.290;75.0
2020-04-03 12:30:29.316;83.0
2020-04-03 19:20:29.300;87.0
2020-04-04 01:30:29.324;67.0
2020-04-04 07:21:24.285;74.0
2020-04-04 17:51:16.414;79.0
2020-04-04 23:50:29.293;70.0
2020-04-05 05:50:29.227;65.0
2020-04-05 15:40:29.212;78.0
2020-04-05 23:30:29.300;68.0
2020-04-06 23:20:29.311;70.0
2020-04-07 05:50:29.308;69.0
2020-04-07 11:50:29.309;117.0
2020-04-07 18:41:09.590;83.0
2020-03-24 15:40:50.692;94.0
2020-03-24 21:50:57.618;82.0
2020-03-25 03:50:29.294;64.0
2020-03-25 09:40:29.249;75.0
2020-03-25 16:50:48.202;91.0
2020-03-25 22:50:29.233;75.0
2020-03-26 04:50:29.296;63.0
2020-03-26 10:52:01.046;68.0
2020-03-26 18:10:46.815;94.0
2020-03-27 10:40:49.642;77.0
2020-03-27 19:31:02.482;81.0
2020-03-28 01:40:29.213;72.0
2020-03-28 07:50:29.249;73.0
2020-03-28 16:40:29.349;83.0
2020-03-28 22:30:29.358;78.0
2020-03-29 03:50:29.258;73.0
2020-03-29 10:50:52.592;84.0
2020-03-29 17:50:54.650;78.0
2020-03-29 23:50:29.272;67.0
2020-03-30 05:40:29.228;62.0
2020-03-30 13:40:49.671;80.0
2020-03-31 06:50:29.316;77.0
2020-04-07 20:50:29.282;83.0
2020-03-31 13:50:29.303;84.0
2020-04-01 13:50:29.308;83.0
2020-04-01 21:50:29.282;81.0
2020-04-15 13:10:29.324;98.0
2020-04-16 11:50:54.739;88.0
2020-04-16 17:50:35.761;89.0
2020-04-16 23:50:29.294;71.0
2020-04-17 05:40:29.376;72.0
2020-04-17 16:50:29.235;84.0
2020-04-17 22:50:29.298;76.0
2020-04-08 02:51:00.469;66.0
2020-04-18 04:50:29.306;69.0
2020-04-18 12:50:29.272;82.0
2020-04-18 20:50:29.235;73.0
2020-04-19 02:50:29.231;63.0
2020-04-19 08:40:29.326;80.0
2020-04-08 08:20:29.287;73.0
2020-04-19 16:50:50.338;76.0
2020-04-20 23:50:29.282;70.0
2020-04-21 05:40:29.225;70.0
2020-04-21 14:21:03.625;129.0
2020-04-21 21:30:58.678;105.0
2020-04-22 03:50:49.744;83.0
