has_sleep_data;efficiency;com.samsung.health.sleep.start_time;com.samsung.health.sleep.end_time
0;90.0;2020-04-08 23:39:00.000;2020-04-09 01:06:00.000
0;85.0;2020-04-07 20:48:00.000;2020-04-07 23:15:00.000
0;87.0;2020-04-07 23:24:00.000;2020-04-08 03:35:00.000
0;92.0;2020-04-09 01:16:00.000;2020-04-09 03:52:00.000
0;92.0;2020-04-09 21:36:00.000;2020-04-09 23:30:00.000
0;75.0;2020-04-10 04:30:00.000;2020-04-10 06:44:00.000
0;81.0;2020-04-08 04:26:00.000;2020-04-08 06:06:00.000
0;91.0;2020-04-10 00:03:00.000;2020-04-10 01:47:00.000
0;74.0;2020-04-09 04:42:00.000;2020-04-09 06:28:00.000
0;87.0;2020-04-11 20:50:00.000;2020-04-12 01:32:00.000
0;83.0;2020-04-12 04:30:00.000;2020-04-12 06:29:00.000
0;90.0;2020-04-13 02:23:00.000;2020-04-13 03:43:00.000
0;90.0;2020-04-10 02:00:00.000;2020-04-10 03:50:00.000
0;83.0;2020-04-12 21:18:00.000;2020-04-12 23:32:00.000
0;86.0;2020-04-13 04:24:00.000;2020-04-13 07:06:00.000
0;88.0;2020-04-12 01:41:00.000;2020-04-12 03:44:00.000
0;88.0;2020-04-12 23:42:00.000;2020-04-13 02:13:00.000
0;94.0;2020-04-14 01:16:00.000;2020-04-14 03:39:00.000
0;85.0;2020-04-15 05:21:00.000;2020-04-15 07:02:00.000
0;88.0;2020-04-13 20:58:00.000;2020-04-13 23:12:00.000
0;87.0;2020-04-15 02:29:00.000;2020-04-15 03:40:00.000
0;88.0;2020-04-14 04:22:00.000;2020-04-14 07:33:00.000
0;91.0;2020-04-14 21:48:00.000;2020-04-15 00:18:00.000
0;89.0;2020-04-02 01:31:00.000;2020-04-02 04:09:00.000
0;86.0;2020-04-03 00:58:00.000;2020-04-03 04:06:00.000
0;86.0;2020-04-02 23:09:00.000;2020-04-03 00:40:00.000
0;90.0;2020-04-02 20:53:00.000;2020-04-02 22:49:00.000
0;92.0;2020-04-01 21:15:00.000;2020-04-02 01:23:00.000
0;89.0;2020-04-04 00:19:00.000;2020-04-04 03:32:00.000
0;82.0;2020-04-02 04:38:00.000;2020-04-02 07:45:00.000
0;85.0;2020-04-05 01:03:00.000;2020-04-05 04:03:00.000
0;90.0;2020-04-04 22:47:00.000;2020-04-05 00:52:00.000
0;86.0;2020-04-04 20:56:00.000;2020-04-04 22:38:00.000
0;92.0;2020-04-03 20:55:00.000;2020-04-03 23:04:00.000
0;86.0;2020-04-05 21:22:00.000;2020-04-05 23:46:00.000
0;83.0;2020-04-04 04:35:00.000;2020-04-04 07:14:00.000
0;86.0;2020-04-07 04:40:00.000;2020-04-07 06:39:00.000
0;90.0;2020-04-07 01:07:00.000;2020-04-07 03:49:00.000
0;86.0;2020-03-25 04:56:00.000;2020-03-25 07:12:00.000
0;87.0;2020-04-05 04:50:00.000;2020-04-05 06:58:00.000
0;82.0;2020-04-06 20:29:00.000;2020-04-07 00:58:00.000
0;88.0;2020-04-05 23:56:00.000;2020-04-06 01:35:00.000
0;91.0;2020-03-29 01:58:00.000;2020-03-29 04:14:00.000
0;87.0;2020-03-24 23:43:00.000;2020-03-25 04:21:00.000
0;92.0;2020-03-26 00:27:00.000;2020-03-26 04:16:00.000
0;81.0;2020-03-25 22:13:00.000;2020-03-26 00:18:00.000
0;90.0;2020-03-28 00:07:00.000;2020-03-28 03:59:00.000
0;81.0;2020-03-28 04:38:00.000;2020-03-28 07:16:00.000
0;88.0;2020-04-16 23:44:00.000;2020-04-17 02:23:00.000
0;79.0;2020-03-26 04:51:00.000;2020-03-26 06:53:00.000
0;83.0;2020-03-29 04:57:00.000;2020-03-29 06:57:00.000
0;85.0;2020-03-30 04:48:00.000;2020-03-30 07:03:00.000
0;81.0;2020-04-18 04:07:00.000;2020-04-18 05:40:00.000
0;94.0;2020-03-30 03:15:00.000;2020-03-30 04:14:00.000
0;88.0;2020-03-29 22:38:00.000;2020-03-30 02:36:00.000
0;90.0;2020-04-16 21:18:00.000;2020-04-16 23:35:00.000
0;90.0;2020-04-17 02:31:00.000;2020-04-17 03:37:00.000
1;89.0;2020-04-21 04:42:00.000;2020-04-21 05:19:00.000
0;92.0;2020-04-18 00:03:00.000;2020-04-18 03:34:00.000
0;96.0;2020-04-17 06:01:00.000;2020-04-17 07:01:00.000
0;83.0;2020-04-17 21:49:00.000;2020-04-17 23:54:00.000
0;90.0;2020-04-18 12:31:00.000;2020-04-18 13:33:00.000
0;83.0;2020-04-17 04:12:00.000;2020-04-17 05:51:00.000
1;100.0;2020-04-21 02:56:00.000;2020-04-21 03:29:00.000
0;89.0;2020-04-24 03:46:00.000;2020-04-24 07:39:00.000
0;91.0;2020-04-21 05:28:00.000;2020-04-21 07:23:00.000
0;85.0;2020-04-19 04:59:00.000;2020-04-19 07:36:00.000
0;82.0;2020-04-20 21:49:00.000;2020-04-21 02:11:00.000
0;90.0;2020-04-24 00:40:00.000;2020-04-24 01:57:00.000
0;93.0;2020-04-26 06:56:00.000;2020-04-26 08:11:00.000
0;82.0;2020-04-18 21:56:00.000;2020-04-19 03:33:00.000
0;83.0;2020-04-24 21:07:00.000;2020-04-25 01:49:00.000
0;88.0;2020-04-22 04:13:00.000;2020-04-22 07:26:00.000
0;88.0;2020-04-23 21:17:00.000;2020-04-23 23:52:00.000
0;81.0;2020-04-21 22:52:00.000;2020-04-22 03:28:00.000
0;90.0;2020-04-26 21:29:00.000;2020-04-27 00:01:00.000
0;87.0;2020-04-29 22:07:00.000;2020-04-30 00:51:00.000
0;86.0;2020-04-26 00:07:00.000;2020-04-26 01:44:00.000
0;87.0;2020-04-25 03:48:00.000;2020-04-25 07:55:00.000
0;83.0;2020-04-25 16:37:00.000;2020-04-25 18:20:00.000
0;87.0;2020-04-30 03:34:00.000;2020-04-30 05:22:00.000
0;90.0;2020-04-26 03:36:00.000;2020-04-26 06:46:00.000
0;83.0;2020-04-27 03:54:00.000;2020-04-27 08:04:00.000
0;86.0;2020-05-01 03:20:00.000;2020-05-01 04:49:00.000
0;96.0;2020-04-27 00:10:00.000;2020-04-27 01:30:00.000
0;85.0;2020-04-29 04:08:00.000;2020-04-29 08:00:00.000
0;87.0;2020-04-28 21:12:00.000;2020-04-29 01:29:00.000
0;93.0;2020-05-03 21:46:00.000;2020-05-04 01:21:00.000
0;86.0;2020-04-30 05:33:00.000;2020-04-30 07:52:00.000
0;86.0;2020-04-30 17:24:00.000;2020-04-30 18:25:00.000
0;89.0;2020-05-01 05:00:00.000;2020-05-01 07:54:00.000
0;89.0;2020-04-30 23:57:00.000;2020-05-01 01:29:00.000
0;90.0;2020-05-05 21:11:00.000;2020-05-05 23:19:00.000
0;89.0;2020-04-30 21:51:00.000;2020-04-30 23:47:00.000
0;92.0;2020-05-04 03:34:00.000;2020-05-04 04:49:00.000
0;85.0;2020-05-01 17:26:00.000;2020-05-01 18:30:00.000
0;94.0;2020-05-02 03:39:00.000;2020-05-02 05:11:00.000
0;93.0;2020-05-02 06:36:00.000;2020-05-02 08:04:00.000
1;90.0;2020-05-07 21:18:00.000;2020-05-07 22:35:00.000
0;90.0;2020-05-01 21:55:00.000;2020-05-02 01:29:00.000
0;93.0;2020-05-05 23:48:00.000;2020-05-06 01:24:00.000
0;87.0;2020-05-04 05:03:00.000;2020-05-04 07:11:00.000
0;88.0;2020-05-04 21:16:00.000;2020-05-05 01:25:00.000
0;83.0;2020-05-05 06:34:00.000;2020-05-05 08:03:00.000
0;88.0;2020-05-05 03:13:00.000;2020-05-05 06:08:00.000
0;93.0;2020-05-08 17:25:00.000;2020-05-08 18:30:00.000
0;89.0;2020-05-10 13:39:00.000;2020-05-10 15:06:00.000
0;85.0;2020-05-06 03:28:00.000;2020-05-06 07:15:00.000
0;81.0;2020-05-10 22:34:00.000;2020-05-11 00:51:00.000
1;89.0;2020-05-06 21:08:00.000;2020-05-07 01:25:00.000
1;92.0;2020-05-07 12:26:00.000;2020-05-07 13:41:00.000
0;90.0;2020-05-12 21:41:00.000;2020-05-13 01:14:00.000
0;78.0;2020-05-13 02:57:00.000;2020-05-13 07:08:00.000
0;90.0;2020-05-08 21:38:00.000;2020-05-09 01:14:00.000
0;86.0;2020-05-09 03:33:00.000;2020-05-09 08:59:00.000
1;89.0;2020-05-07 03:33:00.000;2020-05-07 07:17:00.000
